target,source
Untuk menumpahkan darah yang tidak perlu adalah dosa.,To shed unnecessary blood is a sin.
Aku tidak sanggup membiayai itu.,I can't afford to go lie on a fucking beach.
Apa kita tahu apa yang mereka lakukan dengan mereka?,- Do we know what they're doing with them?
Apa anda tahu berapa IQ-nya?,Do you happen to know what her l.Q. was?
Orang macam apa yang akan diam melihat nya?,What kind of douche bag stands by for that?
"'.. Bahwa kamu belum diberikan masuk musim gugur ini. """,'..that you have not been granted admission this fall.'
O'Doyles memiliki remote universal.,The O'Doyles got a stinking universal remote control.
Tidak satu musician,Not a musician...
"Bangun yang bisa kau bangun, lindungi dirimu.",Build things only you could build. Defend yourselves.
Apa yang membuatmu ke sini?,Why are you here?
Angelo!,Angelo!
Oh.,"Oh, my gosh."
- Kau berada di dalam rumah?,- You're inside the house?
Bodoh!,"Get out of the road, wanker!"
Karena aku butuh sesuatu.,'Cause I need something.
Always be mine.,♪Always be mine. ♪
"Betapa malang nasibnya, dia diperkosa lebih dari 100x.","how poor was she, she was raped over 100 times."
"Yah, aku tidak tahu di mana Anda mengharapkan saya untuk berpikir kamu dapat kristal yang di sana, tapi satu-satunya cara tolol Anda Assin 'ass keledai pernah bisa memiliki pada adalah jika itu dicuri.","Well, I don't know where you expect me to think you got that crystal over there, but the only way your dumbass assin' ass asses could ever have one is if it was stolen."
Rebekah.,Rebekah.
- Jika Anda menikah denganku ...,- If you marry me...
Ya. Ya.,"Am, too."
Ha!,Ha!
- Ini dia.,- Here you go.
Saya sama seperti Anda.,I'm the same as you.
Kita sebaiknya kembali membicarakan bisnis.,We should probably get back to the business at hand.
Coba aku lihat.,Let me see.
Sekarang kau memainkan peran seorang manusia biasa.,Now you're playing the role of a regular guy
- Setelah itu menjadi lebih mudah.,It's like the first time you kill someone.
Apakah kau sedang memberontak?,Are you rebelling or what?
Tak ada tanda-tanda alien.,No sign of alien activity.
Jadi di sini kita lagi.,So we meet again.
Hilang tanpa jejak.,Gone without a trace.
Dah.,Bye.
Baiklah.,Okay. Alright...
Siapa bilang dia bisa mati?,Who thought he could die?
Aku hanya mendapat satu bar dimanapun.,I get one bar everywhere I fucking go.
- Oh!,- Oh!
"Maaf, apa mereka akan menggunakan pedang kayu itu?","Apologies, are they to use those little wooden sticks?"
Apa lagi yang kau tahu soal rencanaku?,What else do you know about my plan?
Kita sudah bertemu dengan banyak hantu sebelumnya tapi yang satu ini baru saja meledakkan Mobil Misteri.,"We've faced a lot of ghoulish creeps before, but this one just blew up the Mystery Machine."
"Percayalah, itu akan berhasil.",Trust me -- it'll work.
- Terima kasih untuk malam ini!,- Thank you for tonight!
Mungkin tidak.,Maybe not.
"Oh, si bayi quiche.","Oh, the baby quiche."
"pergilah, beli tiketnya.",Go buy a ticket.
♪ Yeah!,* Yeah!
Madonna?,Madonna? - Ma-
Kami mendapatkan bantuan.,We're getting help.
Kenapa kau ke sana?,How come you're out there?
"Biar kutangani penjahat itu, Kau pergilah ke Ibumu, paham ?",I'm gonna take care of this jerk. You go take care of your mom. Okay?
Apa?,What?
"Dana, mari kita membuat yang terbaik dari hubungan ini.","Dana, let's make the best of this relationship."
Berapa biayanya?,- How much did that cost?
"Rekaman suara lanjutan sekali dalam sejam, Itu aturannya, tapi jaraknya sangat jauh, dan kita belum menerima apapun.","Prerecorded voice broadcasts once per hour, that's the rule, but the range is over the horizon, and we're not picking anything up."
"[Tidak, aku yakin kau akan menjadi yang tercantik disana!","[No, I'm sure you will look more beautiful than anyone else there!"
Dan aku tak pedulikan pendapatmu karena...,And I care about your opinion because...
- Ada yang salah?,- What's wrong?
"Ini cukup aneh, bukan? Jadi Nina Sharp bilang, kamu juga FBI.",So Nina Sharp says you're FBI too.
Siapa yang punya tombolnya?,Who has a button?
"Katakan pada raja bahwa perang ini tak berguna dan kau menolak mengambil bagian, bagaimana ?","""Stop this foolish war I refuse to help you"""
"? orang Partai di tempat, dia anak paling keren hidup","♪ Party people in the place, he's the coolest kid alive"
Disini.,In here.
Ia membantu 3 wanita teraniaya dalam 6 bulan ini.,She helped out 3 battered women in the last 6 months.
Ini.,Here.
mana saja kau? l mendapatkan sepatu untuk Anda,I got the shoes for you
Membuat hidup Anda neraka hidup.,Make your life a living hell.
Kau tak memperbolehkanku ?,Are you gonna let me...?
- Ini.,-Here you go.
"Tapi dia gadis yang baik, apa yang terjadi dengan kalian?",But she was such a nice girl. What happened with you two?
"Ya, mengenai itu.","Yeah, about that."
Ada yang bisa kubantu?,Can I help you?
Desainku sendiri.,My own design.
"Jika seseorang memiliki kesempatan untuk meringkus Leatherby, kita manfaatkan dia untuk mendapat informasi tentang wanita Abboud itu.","If anyone has a chance to grab Leatherby, we use him to get intel on the Abboud woman."
"""Maskapai penerbangan Albatros.","""Albatross Air."
- Tidak pernah cek in.,- Never checked in.
"Anda mengatakan ""Maaf"" sering.",- You say sorry a lot.
♪ Should I give up ♪,♪ Should I give up ♪
Apa?,What?
"Alamatnya hancur, jadi kami tidak lagi mengantarkan dia.","Her address was destroyed, so we could no longer deliver her."
- Yah!,- Yeah!
Dia punya Alat favorit lain yang diperlukan. Pada saat yang sama ... ibumu menjadi semakin kurang toleran terhadap ide-ide gila kakekmu.,"You know, she needed another vessel, and at that same moment, your mother was becoming less and less tolerant... with your grandfather's insane ideas."
Julio Iglesias.,Julio Iglesias.
Kau tarik ke atas dan sedikit ke kiri saat keluar dari iganya.,"You're gonna need to angle it upward and to the left, very slightly to the left as it exits the rib cage."
"Oh , tidak.","Oh, no."
/ Apa pekerjaanmu?,- What do you gotta do?
Mari kita pergi.,Let's go.
Itu tempat perlindungan bom selama Perang Dunia II.,It was a bomb shelter during World War II.
Jack Sylvane.,Jack Sylvane.
Selama satu jam sekarang.,Homeroom now.
"Jane, kecuali kamu punya sesuatu, kita harus keluar dari sini.","Jane, unless you have something, we need to get out of here."
Tapi aku tidak merasakan hal yg sama pada kalian.,But I feel none of the same for you.
Tak banyak.,What'd you find?
-Mengapa?,-Why?
Maka kita harus kembali ke sana.,Then we have to go back in there.
"Semua polusi dan teknologi itu, itulah cara setan berkelana.","All that pollution and technology, that's how demons travel."
Aku belum makan selama 3 hari.,I haven't eaten for three days.
♪ Can I open my eyes?,♪ Can I open my eyes?
Tidak apa-apa. 'Good girl'.,It's okay. Good girl.
Kemana kau membawanya ?,Wh... Where have you taken him?
Pandangan yang mematikan.,Killer view.
"- Hey, untuk mendapatkan dia di sini.","- Hey, to get her here."
"Hey, hey, hey, tunggu.","Hey, hey, hey, wait."
"aku ingin yang dingin, kok.",I want it freezing though.
"Setiap lebih pembunuhan, dan terutama karena saya pikir itu jelas","Any more killing, and especially because I think it's clear"
"Tidak, tapi sialan sama 'ballpark.","No, but it's the same fuckin' ballpark."
Aku menawarkanmu minuman dingin terbaik yg dikenal seluruh umat manusia.,I offer you the finest chilled refreshment known to the human race.
"Dan satu, dua, tiga, empat, lima, enam dan tujuh ...","And one, two, three, four, five, six and seven..."
Dia pasti tahu.,He'll sniff me out in a second.
/ Dia pasti penyuka anjing.,Must love dogs.
Bryce Loski bukan hidangan utamaku.,Bryce Loski's not my main dish.
"Kau mematahkan hatiku, Bob.","You broke my heart, Bob."
Nordberg!,Nordberg!
Memakainya.,Put it on.
Jin-yi!,Jin-yi!
Bagaimana rasanya?,How rough is it?
My love ...,My love...
"Oh, dan ia menyuruh semua orang memanggilnya ""The Beast (Mahluk Buas),""","Oh, and he makes everyone call him ""The Beast,"""
] Ku kan jalani s'luruh hidupku merdeka!,[fight!
Putri Sri Krishnakant Bhargav Ria.,Sri Krishnakant Bhargav's daughter Ria.
"Begini, kau telah membantu ciptakan citra ""Robin Hood Kolombia"" itu.","Look... you helped create that ""Robin Hood Paisa"" bullshit."
Selama sisa hidupmu kau akan ikuti wanita ini di toko kelontong.,You got the rest of your life to follow this woman around a grocery store.
Tak ada satupun Peri Tanaman yang bisa mengendalikan rumput-rumput itu!,There isn't a garden fairy alive who can control those weeds!
"""Rancangan bisnis dibuat untuk mendukung usaha baru adalah menerapkan perubahan mendasar pada usaha yang sudah ada.""","""Business plans that are created in support of new ventures are to implement profound changes in existing venture."""
Tidak terlalu.,Not particularly.
"Renina, kau tak pernah bicara, dan sekarang kau bicara?","Renina, you never ever talk, and now you pipe in?"
- Ya.,Yes.
Dia produser.,He's a producer.
Karena satu ledakan tidak akan berhasil.,Because one explosion won't do it.
Saya tidak,I don't
Aku harus memberi pengertian terhadapnya... Pada waktu yg sulit ini.,I need to be so very understanding of him... at this difficult time.
Kau baik-baik saja?,Hey! Father...
-Aku ada pekerjaan yang tersisa.,-I have work left.
Apa ini?,What is this?
- Ya Tuhan!,"Oh, God."
Apa?,What?
Kami membeli perahu .,We bought a boat.
apa... apa kau tak mengerti?,"Well, don't... don't you get it?"
Ini bukan hal yang sama.,It's not the same thing.
Selalu mencari masalah.,DEFIANT TO THE LAST.
"Yah, dia menganggap yang terbaik dari semua orang.","Yeah, she thought the best of folks."
Hah?,Huh?
Ada saudara yang lain?,Do you have any other family?
Aku ikut denganmu.,I'm coming with you.
Perusahaan White Entertainment adalah sesuatu yang telah aku bentuk secara mandiri.,The White Entertainment Company is something that I have established independently.
Siapa namamu?,What's your name?
"Tidak, menghapus it...","No, scrub that."
"Hei, ayolah.","Hey, come on."
"Kau seorang pekerja, dan aku bisa memecatmu.","You're an employee, and I can fire you."
Seperti yang dikatakan dokter... Kau bisa sehat kalau kau pergi ke tempat yang baru,"As the doctors have said... there will be an improvement in your health, if you go to a new place"
"Pisau tujuh inci, gigi tajam parsial, keseimbangannya bagus.","Seven-inch blade, partially serrated, well-balanced if you dip when you cut."
tenang.,Relax.
"- Bagaimana kabar Olivia, Bill ? - Agen Marks, aku perlu pernyataan resmi darimu.","Agent Marks, I need some sort of acknowledgment from you."
Apa kamu baik-baik saja?,Are you okay?
kurasa kita tinggal harus menunggu dan melihatnya.,"Well, I suppose we'll just have to wait and see."
"""Dos Bros"" [Dua Saudara].","""Dos ""Bros, Tito."
Apartemenku tidak mendapat air.,Yeah. - My apartment need water.
"Um, Ted, alasan kenapa kita dalam kekacauan ini karena kau pekerjakan aku untuk menangani pembukuanmu.","Well, Ted, the whole reason we're in this mess is because you had me cooking your books."
- Dimana dia?,- Where is he?
Aku akan menunjukkan kelonggaran dan memberimu apa yang anda minta.,I shall show flexibility and give into your request.
Run!,Run!
"Ayolah, Willie, aku membutuhkannya.","Come on, Willie, I need this."
Dalam visi kemuliaan Allah memiliki sesuatu yang seperti takhta dan ada orang duduk di seperti manusia cerah pakaian,In this vision of the Glory of God had something like a throne and there was someone sitting on the like a human bright clothes
Apa aku harus mengingatkan mu bahwa Madam Florence adalah teman dekat Arturo Toscanini?,Do I need to remind you that Madam Florence is a very close personal friend of Arturo Toscanini's?
"wow, pakaian muh tu..... sangat sederhana itulah kamu teman","Wow, your dress... It's so simple. It's so you."
Saya ingin uang.,I want the money.
Aku...,I...
ini aku.,It's me.
Bukan pesawat?,Not the plane?
Albino.,Albino.
"Tujuh tahun yang lalu hari ini, Lonnie.","Seven years ago today, Lonnie."
Terutama kelompok itu sekarang.,Has anyone considered what would happen if Russians got their hands on this? Especially that gang in charge now.
itu adalah Nom-yi!,It was Nom-yi!
Aku bosnya.,I'm the boss.
Aku sungguh ingin berbicara tentang apa saja yang mengganggumu.,I do want to talk about whatever it is that's bothering you.
Lima tahun?,Five years?
Jadi kalian bertiga berencana menggunakan Pedang Api... untuk memotong Gerbang Surga... dan pulang?,So the three of you plan to use this... Flaming Sword to cut through the Gates of Heaven and go home?
"Vanesa, itu tak akan terjadi. Itu tak akan terjadi.","Baby, that is not gonna happen, do you hear me?"
Aku hanya ingin mengucapkan terima kasih banyak.,I just wanted to thank you so much.
"- Tidak, aku tidak mau.","- No, I do not."
"Itu benar, Zayday Williams,","That's right, Zayday Williams,"
"Gadis kecil, sujud, tunduk.","Little girl, bow down, bow down."
Semuanya 6.23.,"Lovely. That's 6.23 then, please."
"Selamatkan pelabuhan, kapten?","Save the dock, captain?"
"Injeksi yang mematikan, Yah.",Lethal injection. Yeah.
"-Ya, -Yeah!","- Yeah, you do."
Aku tidak sabar untuk menciummu lagi.,I can't wait to kiss you again.
Marley tidak akan pergi kemana-mana.,Marley's not going anywhere.
Dia sangat cantik.,She was very lovely.
Bos baruku akan membunuhku hanya karena aku bicara pada kalian.,My new boss is gonna kill me for even talking to you lot.
Kapten Yoo berusaha memancingnya.,Captain Yoo's doing the talking.
Jake!,Jake!
Mengapa mereka mencoba untuk membunuh aku?,Why are they trying to kill me?
Kyle?,Kyle?
"Hm, tidak lagi, wanita jalang.","Hm. Not anymore, bitch."
Bayaran yang kau minta.,Your payment as requested.
Bye!,Bye!
Ini bukan jalan bagi orang dewasa untuk ...,This is no way for grown men to...
Kita perlu mendengar suara Anda.,We need to hear your voice.
"Uh, Aku... dia...","Uh, I... he..."
Lensa inframerah yang bisa membuat wajah Ghosts terlihat dari balik topeng.,Infrared lenses should virtually unmask our ghosty friends.
"Kudengar dua tembakan, dan presiden roboh.","I heard two shots, and the president fell."
- apa bersumpah.,- Do solemnly swear.
"Berapa banyak pemberontak yang kau miliki, seratus?","How many rebels do you have, a hundred?"
Jamie adalah anakmu?,Jamie's your kid?
Kau bicara dengan siapa?,Who are you talking to?
Anda membawa ...,You brought...
Aku ingin dia mati.,I want him dead.
"Jangan pernah mengatakan bahwa, Billy.","Don't ever say that, Billy."
Bagaimana denganmu?,What about you?
Kupikir tadinya kau sudah sangat antusias dan jatuh cinta dengan penerbangan.,And there I was thinking you were about to wax lyrical - about the romance of flight.
"Guru, untung saja obat dari Kakak Wu datang tepat pada waktunya.","Teachers, Schools of medicine brother Wu came just in time."
"Untuk saat ini, kita kembali ke titik awal, dan masa lalu kita tetap menjadi misteri.","For now, we're back to square one, and our pasts remain a mystery."
/ Petugas?,"- Officer? Hi, yeah."
"Untuk telah melakukan perjalanan sejauh ini, dari timur ke barat, seribu mil yang mengerikan.","To have traveled so far, from east to west, a thousand terrible miles."
- Mereka menipu kita!,– They tricked us!
Katakan yang kamu rasakan.,Say what you feel.
- Pakai itu.,- Put those on.
Kau dan aku bukan tidak disengaja.,And you and I are no accident.
- Luke!,- Luke!
Berapa banyak ?,How many?
"Ya, oke.","Yeah, okay."
"Itu bagus, Kopral.","That's right, Corporal."
Karena ia tepat di belakangku!,- Because he's right behind me! - Let's get her down.
Aku tahu kenapa kau mendapat panggilan itu.,I know why you got that name...
Ben?,Ben?
Berapa lama sudah?,How long it's been?
- Biarkan dia pergi!,- Let him go!
Kami berada di Emcon sehingga tidak ada yang akan tahu posisi kami!,We were at EMCON so no one would know our position.
Terima kasih.,"When you get out of town, there could be 20 miles of forest in every direction."
Kamu pergi serang jenderal pembawa bendera mereka. Aku akan bunuh pimpinan barisan depan.,"""Vanguard"" I will kill the vanguard's leader"
Saat kau merayakan Idul Fitri di Istana Kothrud... ..Para Brahmana pergi tanpa makan sesuap pun.,While you were celebrating Eid at Kothrud Palace... The Brahmins left without eating a morsel.
Aku.,I have.
Belleadalahdalambahayabesar,Belle is in grave danger.
"(TERTAWA) Lihatlah dia, man.","(LAUGHS) Look at her, man."
"Ayo, shutzy, melempar sedikit cara Aku.","Come on, shutzy, throw a little my way."
Tigapenjagamuakanmembawa tas itu ke kasino .,Three of your guards will carry the bags out into the casino.
Tapi butuh biaya lebih dari $15.000 untuk gelombang pertama.,"But, it costs much more than $15,000 to make the first run."
Di kota ini ...,In this city ...
"Sampai bertemu beberapa hari lagi, ya?","- See you in a couple of days, right'?"
Tenangkan dirimu!,Calm yourself!
- Apakah Will itu?,- Is that Will?
pada akhirnya.,"A bit. But not really, in the end."
Kami bisa tinggal bersama.,We could stay together.
A Dreamfish ...,A Dreamfish...
"Orang rumah sakit mengatakan itu membuat saya terlihat seperti bebek dalam air, apa pun artinya.","The hospital's people said it made me look like a duck in water, whatever that means."
Orang-orang di kota menghormatimu.,People in town look up to you.
Seperti sesuatu yang hidup.,Like it was something alive.
Aku minta maaf.,I'm sorry.
"""Gila, gila, gila, tarian gila.""","""Crazy, crazy, crazy, crazy dance."""
Itu pasti bisa jadi tongkat yang bagus,That'll make a good cane
adik.,"Nicely done, brother."
Mantel anda ketinggalan.,You left without your coat.
Angkat kakimu.,Pop that foot off.
Dia adalah pemiliknya.,He is the landlord.
Kenapa kau tak ikut denganku?,Why don't you come with me?
"Bukan dia yang melakukannya, tapi salah satu wartawan.",He didn't. One of the reporters did.
Felix! Sarah jadi harus bertahan Disini untuk sementara.,"Felix, Sarah's gonna have to hole up here for a while."
"- Oh, terima Anda.Terima kasih, ayah.","- Oh,thank you.Thank you,father."
Dia dalam sana.,He's just through there.
Apa?,What?
"-""Mencintai-mu 1000 Tahun"".",Sergeant Masterson!
Keparat!,Fuck!
"Kumohon, Katie.","Please, Katie."
Buka pintu!,Open the doors!
Kalian harus percaya padaku.,You gotta believe me.
Dia adalah teman saya.,She was my friend.
"Hal ini terjadi sekarang, Jess.","This is happening right now, Jess."
Tidak ada yang menjawab.,Nobody answered.
"Aku pergi, dan tidak akan bertanya lagi kepadamu.","Have I long thought to see this morning's face, and doth it give me such a sight as this?"
Ada satu hal lagi.,There's one more thing.
Kau lihat apa yang akan terjadi?,So you see what's happening?
# Kau tidak akan memiliki masalah memegang panas ini #,♪ You won't have no problem holding this heat ♪
Apa yang kau...,What are you...
"Celia, Marcus.","Celia, Marcus."
Apa maksudnya ini?,What the hell is this?
Kau yakin gadis ini ada di St. Petersburg?,Are you sure this girl in St. Petersburg?
Ada tanda 666 di keningnya.,The little 666 on her forehead.
"Burrows, Burrows!","Burrows, Burrows!"
Dia harus sudah pingsan sekarang.,He should've passed out by now.
"Itu bukan Rusia, pak.","It's not the Soviets, sir."
Kedengarannya bagus.,That sounds good.
"Baik, Aku akan menyelidiki beberapa petunjuk besol pagi, kita bisa, eh, memeriksa mereka..",Okay. I'll go through these leads.
Aku tidak lapar.,I'm not hungry for food.
Apa artinya ?,What does that mean?
/ Aku akan mencari tahu.,I'm about to find out.
"Itu saja, selesai?","That's it, it's over?"
Apa yang kalian lakukan? Hai.,What'd you kids do?
Kau tak perlu melibatkan dirimu.,You don't have to implicate yourself.
"OK, kamu melakukan satu hal.","Ok, you do one thing."
"setiap orang, ke posisi anda!","Everyone, to your positions!"
"Nah, Anda tidak.","Well, you ain't."
Ya.,Yes.
- Ya?,- Yeah?
- Saya tidak tahu itu.,- I didn't know that. - That's what I've learned.
Tinggalkan aku.,Leave me.
"- Silahkan saja, kau sudah selesai seminggu yang lalu.",You finished your hours weeks ago.
Bisa membantuku? Apa?,Can you do me a favour?
"Nah, Natal tidak berputar sekitar apa yang Anda benci, anak.","Well, Christmas doesn't revolve around what you hate, son."
"Dan aku lakukan, meminta Anda untuk menahan kembalinya obsesi ini.","And I do, do beg you to resist the return of this obsession."
Rogeryang.,Roger that.
Patroli menemukan seorang pria di luar.,Patrol found a guy outside the walls.
"""Sang Kembaran Terlahir... Menjadi Bagian Tubuh Lain-nya"".",Her twin became a part of her body and was born that way.
Seperti peranku saat ini... dimana aku harus memuaskan hati sang Raja.,The play's the thing wherein I'll catch the conscience of the king.
Oke.,Okay.
"Uh, apa ini?","Uh, what is it?"
Bukankah itu yang bos-mu tanyakan?,"""Are you in District 13?"""
Biarkan aku mengambil buletinku.,Allow me to grab my bulletin.
"pertanyaan-pertanyaan beresonansi bahkan lebih keras , ketika Anda kehilangan seseorang melalui tindakan tak berperikemanusiaan kekerasan .","These questions resonate even louder, when you lose somebody through a senseless act of violence."
Kau tidak kenal Abraham. Kau tahu aku.,You don't know Abraham.
Kau kenal dia?,You know him?
Dan jika aku tidak melihat anak ..,And if I don't see the child..
"Bahkan, banyak memiliki otak angsa.","In short, most of you have the mind of a goat."
"tidak, siapa kau?","No, who are you?"
Aku tak percaya ini.,I can't believe it.
Kemudian anda boleh berhenti bimbang tentang hal itu.,Then you could stop worrying about it.
Biarkan saja dia!,Just leave her be!
Itu cukup besar untuk kita semua.,- It's big enough for all of us.
Aku mau menuntut bokong sempitnya itu!,I'm gonna sue his narrow ass!
Kau bisa panggil bantuan sekarang.,You can call for that backup now.
Ini teman baruku.,This is my new friend.
Selamat tinggal.,Goodbye.
Apa? Aku suka peraturan.,Why be a cop if you don't like rules?
keluarlah dari sini!,Get the fuck out of here!
Selai kacang dan jelly?,Peanut butter and jelly?
Ibu.,Mama.
-Dan bahwa Anda mencuri milik bos saya. -No.,-and that you stole my boss's property.
Ini ujungnya.,Here's the punch line.
Gilly.,Gilly.
Apa kau sudah kehilangan akal sehat?,Are you out of your mind?
"Whoa, whoa, tenang!","Whoa, whoa... easy."
Tatap mataku.,Look into my eyes.
- Kita tak bisa membawa benda seperti itu.,-We can't take things like that.
Aku suka cara seperti ini.,I like it this way.
apa?,What?
Persetan dengan Rafael.,Fuck Rafael.
- Dengar.,- Listen.
Menurutmu apa yang akan terjadi?,What do you think happens?
Apa yang akan Anda lakukan dengan itu?,What will you do with it?
"saat kerajaanmu runtuh ,kita bersikap ramah dan memberi kamu perlindungan.","When your kingdom fell, we were friendly and gave you a refuge."
Biar aku tebak.,Let me guess.
"Saat Guru menerima pesan ini, aku mungkin sudah di bandara.","When you receive this message, Teach, I'll already have arrived at the airport."
kau sudah berpegang sejauh ini dan sekarang kau akan pergi seperti ini?,You held onto me tightly and now you're just going to leave like this?
Diam!,Shut up!
"""Suaranya yang kecil, tak sanggup melewati baris pertama.""","""Easy on the eyes, but not on the ears. ""Her small voice didn't carry past the first row."""
Aku dengar kau mengintai apotik.,I hear you're scouting pharmacies.
"apa yang bisa kubilang, nak?","What do I say, son?"
Aku ingin kau pergi.,I want you to go.
Permainan telah berakhir.,Game over.
"Kau benar Johnny, Tidak ada yang melihatku.","You're right, Johnny, you clever bastard. Nobody did see me."
"Aku ingin kau tahu, jika Anda pernah merasa seperti Anda perlu tempat untuk datang ke rumah, baik, Anda memiliki satu.","I want you to know, if you ever feel like you need a place to come home to, well, you have one."
{\a6\fs17\fnCentury Gothic}♪♪Disaat aku merindukanmu seperti ini.,Miss you so much.
"Hei, segelas lagi untuk dia.","Hey, lazy, another round on her."
- Saya melihat secepat aku bisa!,- I'm looking as fast as I can!
"Tidak, di bawah sana.","No, down there."
Apa ada bedanya kalau kau menatapku selama itu?,Does it make any difference if you keep your eyes on me... for that long?
"Belajar gembira berkelok,","Gay learning curve,"
Ya? Tak sabar kembali bekerja bersamamu.,I look forward to getting back to work with you.
"Lady Gaga atau Madonna?""","Lady Gaga or Madonna?"""
Bagaimana dengan penjualan buku-buku?,"What, about how books are sold?"
¶ dan buatlah dunia hidup lagi,♪ And make the world work again
"Biar saya katakan ini, Madam.","Let me say this, madam."
"Maksudku tempat wanitanya adalah di dapur, apa aku benar?","I mean room is place as a kitchen, am I right?"
Anda mempertaruhkan hidup Anda!,You're risking your life!
Bunuh aku.,Beats the hell out of me.
Kita memang tersesat,What am I saying?
Ku pikir kita akan pergi.,I think we will.
Apa yang kau lakukan ?,- What are you doing?
Aku datang untuk berterima kasih.,"Anyway, I came to thank you."
tidak selalu mudah melakukan pekerjaan Alam.,"Oh, it ain't always easy doing Mother Nature's work."
Wow.,Wow.
"Baik, geez, nak.","Well, geez, kid."
"Kau yg mengikutiku akan mempunyai cahaya kehidupan.""","Ye that followeth me shall have the light of life."""
"Ayo, sekarang !",Come on now!
Hentikan itu.,Stop that.
"Maaf, sepupu Chucho.","Sorry, cousin chucho."
"Terlepas dari itu, Kau yang mengendalikan kekuatan mereka.","Regardless of that, you control the power now."
Pergilah dari rumahku.,Just get the fuck out of my house.
Kau benar.,You were right.
Sial.,Damn.
Okay.,Okay.
Siapa dia?,Who is it?
Aku merekamnya.,I'm recording it.
"Segera otakmu akan lemah dan taringmu akan merasa murka, dan ras Anjing akan runtuh!","Soon your feeble canine brains will feel her wrath, and dogkind will crumble!"
- Sungguh?,- Really?
Tidak.,No.
Sudahlah.,Never mind.
"Ayah, kita ini apa?","{Dad, what are we? }"
"Ponsel, status pengendali jarak jauh, mengakses telepon.",CELL PHONE REMOTE STATUS - - - ACCESSING PHONE...
Jangan tanya.,Don't even ask.
Nolan?,Nolan?
Tak ada yang menarik dengan pribadinya.,Anything that was interesting about his personality.
Dia sedang menjaga toko untukku.,She was watching the store for me.
Suatu kehormatan.,It's a pleasure.
Diatas meja ada asbak?,See an ashtray in front of you?
Wow.,Wow.
Isabelle !,Isabelle!
- Hah?,- Huh?
Aku pergi ke pesta akhir tahun itu... Dan menghentikanmu!,I went to the year end party... and stopped you!
Jangan biarkan penyihirnya turun!,Don't let the witches go down!
Kini kita semua bisa istirahat!,We can all rest now!
"Jadi, Anda harus memberitahukan ke seluruh dunia bahwa beliau masih hidup.",So you must make it known to the whole world that he is still alive.
Kapanpun dia datang aku hanya bisa mengikuti perintahnya.,When he visits... I have no choice but to obey his commands.
Aku-aku bisa mengatakan padanya untuk menghubungi Anda.,I-I could tell her to contact you.
Lydia... kau tidak ingat Emily?,Lydia... you don't remember Emily?
[Machine whirs],[Machine whirs]
Dia adalah penasihat DOD.,He's a dod advisor.
Biar aku perjelas hal ini.,Let me see if I have this straight.
"Tidak, tidak, aku akan menunjukkan kepada Anda.","No, no, I'm gonna show you."
Di mana Tesseract?,Where is the Tesseract?
St. Patrick's mengusir para orang kafir dan pengikut mistik.,St. Patrick's expulsion of the pagans and mystics.
"Dalam 36 jam, Kochenko akan menggunting pita untuk usaha baru Zetrov di St. Lawrence river.","In 36 hours, Kochenko will attend the ribbon-cutting of a new Zetrov venture on the St. Lawrence river."
Hayden.,Hayden.
bahkan seragamnya pun beda.,Even his uniform is different.
Satu dolar per ons?,Bucks an ounce?
Apa jika saya menjadi salah satu dari mereka?,What if I become one of them?
"Tidak hanya ini adalah penghargaan yang kedua, tapi dia adalah juara keempat kalinya dari 'persaingan HKSC'.","Not only this is his second award, but he is the fourth time champion of the 'HKPSC' competition."
"Tolong, Saya Mencoba untuk membantu Binatang.","Please, I'm trying to help the animals."
Oke.,Okay.
sangat menawan.,Such cute.
Kita biarkan seperti itu.,Let's have you look that way.
Apa yang dia lakukan selanjutnya?,What did she do next?
"mendengarkan, michael, jika Anda berpikir perusahaan hanya akan untuk membiarkan Anda swap saya untuk keponakan Anda, Anda salah.","listen,michael,if you think the company's just going to let you swap me for your nephew,you're mistaken."
"Aku mulai menjadi milikmu, Kau mulai menjadi milikku.","I've started becoming yours, you've started becoming mine."
Dia berjalan untuk presiden . [ Klik Off ],He's running for president. [Clicks Off]
Aku berharap aku punya Waktu untuk berpikir.,I wish I had Time to think.
"Ya, benar, Gideon.","- Yes, it is, gideon."
"kaget melihatmu, tapi...","A little... surprised to see you, but..."
"Ini sudah pagi..., aku harus pergi.",It's morning already. I have to go.
Didalam dirimu?,In your bones?
Payung Hitam,Black umbrella.
"-Terima kasih, Bung!","Thanks, man! Thanks."
"Aku mengikuti Panabaker ke bandara, dimana dia bertemu wanita ini.","Depends. I followed Panabaker to the airport, where she had a meeting on the tarmac with this woman."
Sepertinya satu lagi tes Orion untuk melihat apakah kita layak.,It looks like another one of Orion's tests to see if we're worthy.
"Terkadang saya tidak bisa mengatakannya sesuatu dari shinola, Doc.","Sometimes I can't tell shit from shinola, Doc."
Untuk meraih tempat kita di puncak rantai makanan.,To claim our rightful place at the top of the food chain.
tusuk lehernya.,Stab her neck.
Permisi...,Excuse me...
Semuanya kosongkan ruangan ini!,Everybody clear this room!
Orang tuaku pergi ke pesta dansa dan aku menunggu mereka di rumah.,"My parents are going to the prom, and I'm staying home to wait up for them."
Aku perlu mengetahuinya.,I needed to know that.
[Semua berteriak],[All shouting]
"Dapatkan""""pengacara?","- So that's it? ""Get a lawyer""?"
Masalah seperti apa?,What kind of trouble?
