target,source
Ya .,Yeah.
[ tv menggelegar terdekat ],[tv blaring nearby]
Aku punya tanggung jawab.,I had a responsibility.
Bilang ke pers.,I will go to the press.
Ingat yang kembar?,Remember where the matching one is?
Saya bekerja di dapur dan dia datang di belakang saya.,I was working in the kitchen and he comes in behind me.
Saya harus bertemu Yoshiro di gunung berapi sekarang.,I have to meet Yoshiro at the volcano now.
"William, Kin baru saja terbunuh.","William, Kin has just been killed."
"Jesus, Jesus, Jesus.","Jesus, Jesus, Jesus."
Tidak ada penghujatan.,No blasphemy.
"Berada didua tempat dalam waktu bersamaan, pakai tato.","Be in two places at once, get a tattoo."
Aku pemegang saham pada perusahaan tempat suamimu bekerja.,I'm part of the company that employs your husband.
"Jika dia ibuku, maka siapa kau?","If she's my mom, then who are you?"
Area bongkar muat ukuran sedang.,Medium freight loading area.
Apa?,Breaking in?
Kau senang?,You happy?
Lihat satu itu.,Look at that one.
MAATAJIIII!,MAATAJIIII!
Coba... coba kau lihat ini.,Just... just take a look at this.
Orang macam apa yang akan diam melihat nya?,What kind of douche bag stands by for that?
"Kami akan berikan arahnya yang jelas, lokasi tempat kau menaruh uangnya.",We'll give you explicit directions on where to make the drop-off.
Aku tahu bagaimana caranya untuk mengokang senapan.,I know how to rack a gun.
"- Selamat pagi, penyusup.","- Good morning, intruder."
- Semua baik2 saja.,- It's all good.
"-Di Kyoto, adakah tikus disana?","- In Kyoto, aren't there any mice or rats?"
Saya beranggapan semuanya berjalan baik di desa.,I assume that everything went well in the village.
Mereka tidak akan membiarkanmu masuk,They won't let you in.
"Tapi untuk 10 menit berikutnya, kau harus ikuti instruksinya, dan lakukan layaknya seorang profesional.","But for the next 10 minutes, you are going to follow instructions, and you will conduct yourself like a professional."
"Kau tidak bisa bawa keluar dari buku, kau bakar salinan terakhir, aku lihat kamu lakukan itu.",You can't bring it out of the book. You burnt the last copy. I saw you do it.
Memaafkan saya.,Excusing me.
Dan aku tidak melempar bom api ke dalam kantor Krupp.,And I didn't throw that firebomb in Krupp's office.
- Untuk apa?,- For what?
Kita sudah bertemu dengan banyak hantu sebelumnya tapi yang satu ini baru saja meledakkan Mobil Misteri.,"We've faced a lot of ghoulish creeps before, but this one just blew up the Mystery Machine."
saya ingin tunai besar mengerti?,I got it! I WANT BIG CASH UNDERSTAND
Silakan tinggalkan pesan setelah nada berikut.,Please leave your message at the tone.
Aku mengingatnya. / Ya.,I remember. Yeah.
Sudah.,Well done.
Aku sungguh ingin berbicara tentang apa saja yang mengganggumu.,I do want to talk about whatever it is that's bothering you.
Seperti masuk .. Anda kenal sebagai masuk ..,As in... you know as in...
- Kapan?,- When?
pada masa lalu ingin berfoto bersama? ini.. baru cara yang tepat,"""would you like to take a picture together?"", or ""what about this?"" that should the proper terms to use."
"Vanesa, itu tak akan terjadi. Itu tak akan terjadi.","Baby, that is not gonna happen, do you hear me?"
Mm-hmm.,Mm-hmm.
Dia ingin kau terus berjuang.,She wants you to keep fighting.
Dan Tim yang bertahan di semifinal adalah. Tim HD!,The fast crew standing in the semifinals is the HD Crew!
Lihat ini.,These look.
Siapa yang beri izin?,Who authorized you to do this?
Ini mungkin kemalangan sebagai superhero ... tetapi tetap.,"You may be a disgrace as a superhero, but you're a superhero nonetheless."
"Things happen in the field, but...","Things happen in the field, but..."
Itu menarik seperti kedengarannya. Ada sejumlah congressman yang menyerang balik memanfaatkan skandal terakhir ini untuk memberi lampu hijau program lainnya.,"As intriguing as that sounds, there are some members of congress making too much hay out of this latest scandal to ever green-light another program."
Dia produser.,He's a producer.
"Bro, kamu kayak Rachael Ray dengan Ganja.","Man, you're like the Rachael Ray of weed."
Kau sendirian bersamanya selama tiga bulan di Paris.,You were alone with him for three months in Paris.
